population,warr,gibb,cath,conv,whee,tabo,sawm,baxt,bubb,will,lang,olan,biga,laur,cd_d,rv_d,gd_d,ml_d,id_e,lp_e,bp_e,bi_e,bo_p,lp_b,silv,whit,so_l,no_l,ew_d,ww_d
warr,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
gibb,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cath,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conv,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
whee,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
tabo,,,,,,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
sawm,,,,,,,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
baxt,,,,,,,,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
bubb,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
will,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
lang,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
olan,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
biga,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laur,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cd_d,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
rv_d,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
gd_d,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ml_d,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1
id_e,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0
lp_e,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0
bp_e,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0
bi_e,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0
bo_p,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0
lp_b,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0
silv,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0
whit,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0
so_l,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
no_l,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
ew_d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
ww_d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
